    40>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\rational\rational.cpp(8,21): error C2039: '__gcd': is not a member of 'std' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.lab\rational\rational.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(105,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(105,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(106,3): error C2678: binary '&&': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(107,3): error C2678: binary '||': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(109,17): error C2280: 'BitAccessor &BitAccessor::operator =(const BitAccessor &)': attempting to reference a deleted function [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(110,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(110,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(111,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(111,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(112,3): error C2678: binary '&&': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(113,3): error C2678: binary '||': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(120,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(120,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(121,3): error C2280: 'BitAccessor &BitAccessor::operator =(const BitAccessor &)': attempting to reference a deleted function [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(129,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(129,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(130,3): error C2280: 'BitAccessor &BitAccessor::operator =(const BitAccessor &)': attempting to reference a deleted function [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(150,10): error C2440: 'initializing': cannot convert from 'BitAccessor' to 'bool' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
     5>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_complex\doctest_complex.cpp(17,20): error C2039: 're': is not a member of 'Complex' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_complex\doctest_complex.vcxproj]
     5>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_complex\doctest_complex.cpp(17,27): error C2039: 'im': is not a member of 'Complex' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_complex\doctest_complex.vcxproj]
    34>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\dynarr\dynarr.hpp(51): error C4716: 'DynArr::operator=': must return a value [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.test\test_dynarr.vcxproj]
    11>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\dynarr\dynarr.hpp(51): error C4716: 'DynArr::operator=': must return a value [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_dynarr\doctest_dynarr_m.vcxproj]
    14>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\dynarr\dynarr.hpp(51): error C4716: 'DynArr::operator=': must return a value [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_dynarr\doctest_dynarr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(16,5): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(17,5): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(26,5): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(38,11): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(50,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(51,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(53,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(74,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(102,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(108,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(120,12): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    12>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr_moveable.cpp(14,6): error C2664: 'void QueueLstPr::Push(const Complex &) noexcept': cannot convert argument 1 from 'float' to 'const Complex &' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr_m.vcxproj]
